Series_Title,Director,Star1,Star2,Star3,Star4
The Shawshank Redemption,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
The Godfather,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton
The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine
The Godfather: Part II,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
12 Angry Men,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler
The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom
Pulp Fiction,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Schindler's List,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
Inception,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe
Fight Club,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean
Forrest Gump,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
"Il buono, il brutto, il cattivo",Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè
The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom
The Matrix,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Goodfellas,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
One Flew Over the Cuckoo's Nest,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco
Hamilton,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry
Gisaengchung,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik
Soorarai Pottru,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali
Interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy
Cidade de Deus,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi
Saving Private Ryan,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns
The Green Mile,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt
La vita è bella,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
Se7en,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker
The Silence of the Lambs,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons
Star Wars,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness
Seppuku,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba
Shichinin no samurai,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki
It's a Wonderful Life,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell
Joker,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy
Whiplash,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser
The Intouchables,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny
The Prestige,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine
The Departed,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg
The Pianist,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox